contract_address,name,base_asset_id,base_asset_name,base_asset_symbol,base_asset_contract_address,quote_asset_id,quote_asset_name,quote_asset_symbol,quote_asset_contract_address,dex_id,dex_slug,network_id,network_slug,last_updated,created_at,price,volume_24h,percent_change_price_1h,percent_change_price_24h,liquidity,fully_diluted_value
GTquPtbDqSYbXmcCqrX7VpAQc4TtTbn59urazZS4WWwk,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:35:27.436Z,2024-12-17T13:14:51.000Z,0.02732003059105256,18324.365311880687,-0.0302435536,-0.1342187726,93812.04530011766,2428445178.879414
6Q5VVRLrZiho3MUYTEnx2iAJJo6nq72fizNZmPACS72j,PENGU/USDT,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344279,USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9882,meteora-vd,16,Solana,2024-12-22T02:54:21.067Z,2024-12-17T13:06:51.000Z,0.026865277190699595,17633.948237232667,-0.0101437754,-0.109423753,12479.131002103459,2388022687.4409213
2kDWKSwzoez4zQnXU49M8Ghm331CKkfPKxTEYS2ww7F4,PENGU/M3M3,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,32370541,M3M3,M3M3,M3M3pSFptfpZYnWNUgAbyWzKKgPo5d1eWmX6tbiSF2K,9882,meteora-vd,16,Solana,2024-12-22T02:39:52.993Z,2024-12-20T02:23:11.000Z,0.026997251328967867,16839.460704981226,-0.025077471,-0.1149669504,12387.185584022322,2399753712.365883
F1sGye6uig8Qwbk4oNGXt67HW9yPqTbJeSZSSaHNCFYE,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:47:36.115Z,2024-12-17T13:00:30.000Z,0.026612198729739866,15586.896814626005,-0.0220050311,-0.1334114602,12825.730963155369,2365526842.630368
7mgeTGLRcsRHVEYYJEi9wCQyZ19skPL1zqKq56fBqpFq,PENGU/BRAINLET,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,26207917,Brainlet,BRAINLET,8NNXWrWVctNw1UFeaBypffimTdcLCcD8XJzHvYsmgwpF,9882,meteora-vd,16,Solana,2024-12-22T02:21:01.886Z,2024-12-21T16:52:11.298Z,0.028639805386484682,14453.111069242477,0.0,-0.0568524637,12043.328891036203,2545758398.1487713
7oQm53VgSnbqyBDy6iHNyj6suATChCGr7drTmuLXXCjo,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:47:32.000Z,2024-12-17T12:46:40.000Z,0.02684615071971414,12876.836900399829,-0.0136709928,-0.1038308469,8320.69147789544,2386322558.076175
AvgZvXqoZMCDphb7PmVdXKkxsZJfQKKTKKrP3PeoouCN,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:47:31.277Z,2024-12-17T12:46:21.000Z,0.026872009885915163,12634.514069565703,-0.0136104879,-0.153163948,189111.42011832193,2388621148.748738
E3aEUubQLeutdQCaYrcKopeenHJQa4r8EorRNZDKV18h,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:47:33.159Z,2024-12-17T13:00:30.000Z,0.0267690256212998,11115.659694242764,-0.0095698853,-0.1609843079,79965.5321399342,2379466999.3757305
CLBnhiGTVnVRAjp8hrCvXq5Uzn2AuS3UanyKEnfrebPo,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:47:15.391Z,2024-12-17T12:46:22.000Z,0.026794228876428024,11100.391660374902,-0.006393353,-0.1488492416,134454.9335733892,2381707286.8894734
FJ1Xn7iuX6LpJPmYdttndtumDVinB3D1maR8Bb6M7Zds,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:51:43.780Z,2024-12-17T12:46:40.000Z,0.026677803736876088,8620.835297999889,-0.0241245508,-0.1160751875,5347.72984156632,2371358394.0541244
GKCNtTLsU9Sh9bqY14wPpV3osDkbXs2PJ5KPBvQT8GBm,PENGU/SEAL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,32998789,SEAL,SEAL,Ho6wN4ff7RdTdXE1UsCZjrjuFVMHyRFTv1oBdbSECnJS,9882,meteora-vd,16,Solana,2024-12-22T02:56:31.956Z,2024-12-17T13:47:21.000Z,0.026774460956399806,8305.945084239058,-0.0148711683,-0.1068135062,11136.142820600227,2379950139.8786383
51oAuxh5R9hZRxhrd98nmPLnXUVbh7L8sC4GFWwYtZif,PENGU/USDT,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344279,USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,10557,raydium-clmm,16,Solana,2024-12-22T02:47:22.000Z,2024-12-18T10:02:01.000Z,0.026643399687936564,7233.1294691550065,-0.0121701955,-0.136215593,7223.978909003137,2368300258.8700266
6E9PBVkxcbBSkkaK5QaA9Yg7c7zPbhGekLJTAmdnse1J,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10557,raydium-clmm,16,Solana,2024-12-22T02:52:56.998Z,2024-12-17T16:45:31.000Z,0.02679868985604625,6402.690178974157,-0.0126685628,-0.1112931415,11590.09714398095,2382103818.0870085
